Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Genome Composition,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL,
15,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus MRV1,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011718,
16,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus SSRV1,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011719,
17,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus SIRV1,dsDNA,"Renamed,Moved,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202001546,
18,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus SIRV2,dsDNA,"Renamed,Moved,Removed as Type Species,",36,2020.141B.R.Rudiviridae.zip;2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001547,
19,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus SIRV3,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011709,
20,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Itarudivirus,,Itarudivirus ARV1,dsDNA,"Renamed,Moved,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202001545,
21,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Japarudivirus,,Japarudivirus SBRV1,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011721,
22,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Mexirudivirus,,Mexirudivirus SMRV1,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011722,
23,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus SIRV4,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011710,
24,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus SIRV5,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011711,
25,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus SIRV8,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011712,
26,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus SIRV9,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011713,
27,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus SIRV10,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011714,
28,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus SIRV11,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011715,
29,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Alphatristromavirus,,Alphatristromavirus PFV1,dsDNA,"Renamed,Moved,Removed as Type Species,",36,2020.168B.R.Tristromaviridae.zip;2020.001G.R.Abolish_type_species.pdf,ICTVonline=202005323,
30,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Alphatristromavirus,,Alphatristromavirus PFV2,dsDNA,"New,",36,2020.168B.R.Tristromaviridae.zip,ICTVonline=202012054,
31,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Betatristromavirus,,Betatristromavirus TTV1,dsDNA,"Renamed,Moved,",36,2020.168B.R.Tristromaviridae.zip,ICTVonline=202005324,
32,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batrachovirus,,Ranid herpesvirus 1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001396,
33,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batrachovirus,,Ranid herpesvirus 2,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001397,
34,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batrachovirus,,Ranid herpesvirus 3,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202005570,
35,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyprinivirus,,Anguillid herpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001399,
36,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyprinivirus,,Cyprinid herpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001400,
37,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyprinivirus,,Cyprinid herpesvirus 2,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001401,
38,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyprinivirus,,Cyprinid herpesvirus 3,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001402,
39,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictalurivirus,,Acipenserid herpesvirus 2,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001404,
40,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictalurivirus,,Ictalurid herpesvirus 1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001405,
41,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictalurivirus,,Ictalurid herpesvirus 2,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001406,
42,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmonivirus,,Salmonid herpesvirus 1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001408,
43,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmonivirus,,Salmonid herpesvirus 2,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001409,
44,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmonivirus,,Salmonid herpesvirus 3,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001410,
45,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Iltovirus,,Gallid alphaherpesvirus 1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001414,
46,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Iltovirus,,Psittacid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001415,
47,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Anatid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001417,
48,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Columbid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001418,
49,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Gallid alphaherpesvirus 2,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001419,
50,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Gallid alphaherpesvirus 3,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001420,
51,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Meleagrid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001421,
52,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Spheniscid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202006397,
53,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Scutavirus,,Chelonid alphaherpesvirus 5,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001423,
54,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Scutavirus,,Testudinid alphaherpesvirus 3,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202006398,
55,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Ateline alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001425,
56,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Bovine alphaherpesvirus 2,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001426,
57,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Cercopithecine alphaherpesvirus 2,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001427,
58,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Human alphaherpesvirus 1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001428,
59,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Human alphaherpesvirus 2,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001429,
60,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Leporid alphaherpesvirus 4,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001430,
61,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Macacine alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001431,
62,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Macacine alphaherpesvirus 2,dsDNA,"New,",36,2020.002D.R.Herpesviridae_2nsp.zip,ICTVonline=202008779,
63,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Macacine alphaherpesvirus 3,dsDNA,"New,",36,2020.002D.R.Herpesviridae_2nsp.zip,ICTVonline=202008780,
64,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Macropodid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001432,
65,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Macropodid alphaherpesvirus 2,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001433,
66,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Panine alphaherpesvirus 3,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001434,
67,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Papiine alphaherpesvirus 2,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001435,
68,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Pteropodid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202006395,
69,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Saimiriine alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001436,
70,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Bovine alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001440,
71,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Bovine alphaherpesvirus 5,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001441,
72,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Bubaline alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001442,
73,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Canid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001443,
74,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Caprine alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001444,
75,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Cercopithecine alphaherpesvirus 9,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001445,
76,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Cervid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001446,
77,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Cervid alphaherpesvirus 2,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001447,
78,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Cervid alphaherpesvirus 3,dsDNA,"New,",36,2020.007D.R.Herpesviridae_4ngen_6nsp.zip,ICTVonline=202009143,
79,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Equid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001448,
80,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Equid alphaherpesvirus 3,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001449,
81,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Equid alphaherpesvirus 4,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001450,
82,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Equid alphaherpesvirus 8,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001451,
83,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Equid alphaherpesvirus 9,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001452,
84,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Felid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001453,
85,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Human alphaherpesvirus 3,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001454,
86,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Monodontid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202006396,
87,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Phocid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001455,
88,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Suid alphaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001456,
89,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,,,Chelonid alphaherpesvirus 6,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001438,
90,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Aotine betaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001459,
91,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cebine betaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001460,
92,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cercopithecine betaherpesvirus 5,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001461,
93,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Human betaherpesvirus 5,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001462,
94,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Macacine betaherpesvirus 3,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001463,
95,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Macacine betaherpesvirus 8,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202006399,
96,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Mandrilline betaherpesvirus 1,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202006400,
97,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Panine betaherpesvirus 2,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001464,
98,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Papiine betaherpesvirus 3,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001465,
99,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Papiine betaherpesvirus 4,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202006401,
100,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Saimiriine betaherpesvirus 4,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001466,
101,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Muromegalovirus,,Murid betaherpesvirus 1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001468,
102,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Muromegalovirus,,Murid betaherpesvirus 2,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001469,
103,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Muromegalovirus,,Murid betaherpesvirus 8,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202001470,
104,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Proboscivirus,,Elephantid betaherpesvirus 1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001472,
105,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Proboscivirus,,Elephantid betaherpesvirus 4,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202006404,
106,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Proboscivirus,,Elephantid betaherpesvirus 5,dsDNA,"Moved,",35,2019.004G.zip,ICTVonline=202006405,
