"ICTVnames","NCBInames","ExemplarOrAdditional","GenBankIDs","RefSeqIDs"
"Cercopithecine betaherpesvirus 5","cercopithecine betaherpesvirus 5; simian cytomegalovirus","E","FJ483968","NC_012783"
"Human betaherpesvirus 5","human betaherpesvirus 5; human cytomegalovirus","E","AY446894","NC_006273"
"Macacine betaherpesvirus 3","macacine betaherpesvirus 3; rhesus cytomegalovirus","E","AY186194","NC_006150"
"Macacine betaherpesvirus 8","macacine betaherpesvirus 8; cynomolgus macaque cytomegalovirus","E","JN227533","zero"
"Mandrilline betaherpesvirus 1","mandrilline betaherpesvirus 1; drill monkey cytomegalovirus","E","KR297253","zero"
"Panine betaherpesvirus 2","panine betaherpesvirus 2; chimpanzee cytomegalovirus","E","AF480884","NC_003521"
"Papiine betaherpesvirus 3","papiine betaherpesvirus 3; olive baboon cytomegalovirus","E","AC090446","zero"
"Papiine betaherpesvirus 4","papiine betaherpesvirus 4; chacma baboon cytomegalovirus","E","KR351281","NC_027016"
"Saimiriine betaherpesvirus 4","saimiriine betaherpesvirus 4; squirrel monkey cytomegalovirus","E","FJ483967","NC_016448"
"Murid betaherpesvirus 1","murid betaherpesvirus 1; murine cytomegalovirus","E","GU305914","zero"
"Murid betaherpesvirus 2","murid betaherpesvirus 2; rat cytomegalovirus strain Maastricht","E","AF232689","NC_002512"
"Murid betaherpesvirus 8","murid betaherpesvirus 8; rat cytomegalovirus strain England","E","JX867617","NC_019559"
"Elephantid betaherpesvirus 1","elephantid betaherpesvirus 1; elephantid endotheliotropic herpesvirus 1","E","KC462165","NC_020474"
"Elephantid betaherpesvirus 4","elephantid betaherpesvirus 4; elephantid endotheliotropic herpesvirus 4","E","KT832477","NC_028379"
"Elephantid betaherpesvirus 5","elephantid betaherpesvirus 5; elephantid endotheliotropic herpesvirus 5","E","KF921519","NC_024696"
"Caviid betaherpesvirus 2","caviid betaherpesvirus 2; guinea pig cytomegalovirus","E","KC503762","NC_020231"
"Miniopterid betaherpesvirus 1","miniopterid betaherpesvirus 1; Miniopterus schreibersii herpesvirus","E","JQ805139","zero"
"Tupaiid betaherpesvirus 1","tupaiid betaherpesvirus 1; tupaia herpesvirus","E","AF281817","NC_002794"
"Human betaherpesvirus 7","human betaherpesvirus 7; human herpesvirus 7","E","AF037218","NC_001716"
"Human betaherpesvirus 6A","human betaherpesvirus 6A; human herpesvirus 6A","E","X83413","NC_001664"
"Human betaherpesvirus 6B","human betaherpesvirus 6B; human herpesvirus 6B","E","AF157706","NC_000898"
"Macacine betaherpesvirus 9","macacine betaherpesvirus 9; Macaca nemestrina herpesvirus 7","E","KU351741","NC_030200"
"Murid betaherpesvirus 3","murid betaherpesvirus 3; mouse thymic virus","E","KY355735","NC_033620"
"Suid betaherpesvirus 2","suid betaherpesvirus 2; porcine cytomegalovirus","E","KF017583","NC_022233"
"Delphinid gammaherpesvirus 1","delphinid gammaherpesvirus 1; common bottlenose dolphin gammaherpesvirus 1","E","KY965444","NC_035117"
"Callitrichine gammaherpesvirus 3","callitrichine gammaherpesvirus 3; marmoset lymphosarcoma virus","E","AF319782","NC_004367"
"Cercopithecine gammaherpesvirus 14","cercopithecine gammaherpesvirus 14; African green monkey EBV-like virus","E","","zero"
"Gorilline gammaherpesvirus 1","gorilline gammaherpesvirus 1; herpesvirus gorilla","E","AJ581752","zero"
"Human gammaherpesvirus 4","human gammaherpesvirus 4; Epstein-Barr virus","E","AJ507799","NC_007605"
"Macacine gammaherpesvirus 4","macacine gammaherpesvirus 4; rhesus lymphocryptovirus","E","AY037858","NC_006146"
"Macacine gammaherpesvirus 10","macacine gammaherpesvirus 10; cynomolgus macaque lymphocryptovirus","E","KP676001","zero"
"Panine gammaherpesvirus 1","panine gammaherpesvirus 1; herpesvirus pan","E","AJ581751","NC_038859"
"Papiine gammaherpesvirus 1","papiine gammaherpesvirus 1; herpesvirus papio","E","AJ581750","zero"
"Pongine gammaherpesvirus 2","pongine gammaherpesvirus 2; herpesvirus pongo","E","AJ581753","NC_038860"
"Alcelaphine gammaherpesvirus 1","alcelaphine gammaherpesvirus 1; wildebeest-associated malignant catarrhal fever virus","E","AF005370","NC_002531"
"Alcelaphine gammaherpesvirus 2","alcelaphine gammaherpesvirus 2; hartebeest-associated malignant catarrhal fever virus","E","KF274499","NC_024382"
"Bovine gammaherpesvirus 6","bovine gammaherpesvirus 6; bovine lymphotropic herpesvirus","E","KJ705001","NC_024303"
"Caprine gammaherpesvirus 2","caprine gammaherpesvirus 2; caprine herpesvirus 2","E","AF283477","NC_043059"
"Hippotragine gammaherpesvirus 1","hippotragine gammaherpesvirus 1; roan antelope herpesvirus","E","DQ083950","NC_043060"
"Ovine gammaherpesvirus 2","ovine gammaherpesvirus 2; sheep-associated malignant catarrhal fever virus","E","AY839756","NC_007646"
"Suid gammaherpesvirus 3","suid gammaherpesvirus 3; porcine lymphotropic herpesvirus 1","E","AF478169","NC_038264"
"Suid gammaherpesvirus 4","suid gammaherpesvirus 4; porcine lymphotropic herpesvirus 2","E","AY170317","NC_038265"
"Suid gammaherpesvirus 5","suid gammaherpesvirus 5; porcine lymphotropic herpesvirus 3","E","AY170316","zero"
"Phascolarctid gammaherpesvirus 1","phascolarctid gammaherpesvirus 1","E","MG452722","zero"
"Vombatid gammaherpesvirus 1","vombatid gammaherpesvirus 1","E","MG452721","zero"
"Vespertilionid gammaherpesvirus 3","vespertilionid gammaherpesvirus 3; Eptesicus fuscus gammaherpesvirus","E","MF385016","NC_040615"
"Equid gammaherpesvirus 2","equid gammaherpesvirus 2; equine herpesvirus 2","E","U20824","NC_001650"
"Equid gammaherpesvirus 5","equid gammaherpesvirus 5; equine herpesvirus 5","E","KM924295","NC_026421"
"Felid gammaherpesvirus 1","felid gammaherpesvirus 1; Felis catus gammaherpesvirus 1","E","KT595939","NC_028099"
"Mustelid gammaherpesvirus 1","mustelid gammaherpesvirus 1; badger herpesvirus","E","AF376034","NC_038266"
"Phocid gammaherpesvirus 3","phocid gammaherpesvirus 3; harp seal herpesvirus","E","KP136799","zero"
"Vespertilionid gammaherpesvirus 1","vespertilionid gammaherpesvirus 1; bat gammaherpesvirus 8","E","KU220026","NC_029255"
"Ateline gammaherpesvirus 2","ateline gammaherpesvirus 2; herpesvirus ateles strain 810","E","M22036","NC_038267"
"Ateline gammaherpesvirus 3","ateline gammaherpesvirus 3; herpesvirus ateles","E","AF083424","NC_001987"
"Bovine gammaherpesvirus 4","bovine gammaherpesvirus 4; bovine herpesvirus 4","E","AF318573","NC_002665"
"Cricetid gammaherpesvirus 2","cricetid gammaherpesvirus 2; rodent herpesvirus Peru","E","HQ221963","NC_015049"
"Human gammaherpesvirus 8","human gammaherpesvirus 8; Kaposi's sarcoma-associated herpesvirus","E","AF148805","NC_009333"
"Macacine gammaherpesvirus 5","macacine gammaherpesvirus 5; rhesus rhadinovirus","E","AF083501","NC_003401"
"Macacine gammaherpesvirus 8","macacine gammaherpesvirus 8; retroperitoneal fibromatosis-associated herpesvirus Macaca nemestrina","E","KF703446","zero"
"Macacine gammaherpesvirus 11","macacine gammaherpesvirus 11; Japanese macaque rhadinovirus","E","AY528864","zero"
"Macacine gammaherpesvirus 12","macacine gammaherpesvirus 12; pig-tailed macaque rhadinovirus 2","E","KP265674","zero"
"Murid gammaherpesvirus 4","murid gammaherpesvirus 4; murine gammaherpesvirus 68","E","U97553","NC_001826"
"Murid gammaherpesvirus 7","murid gammaherpesvirus 7; wood mouse herpesvirus","E","GQ169129","zero"
"Saimiriine gammaherpesvirus 2","saimiriine gammaherpesvirus 2; herpesvirus saimiri","E","X64346","NC_001350"
"Equid gammaherpesvirus 7","equid gammaherpesvirus 7; asinine herpesvirus 2","E","EU165547","NC_043061"
"Phocid gammaherpesvirus 2","phocid gammaherpesvirus 2; phocid herpesvirus 2","E","GQ429152","NC_043062"
"Saguinine gammaherpesvirus 1","saguinine gammaherpesvirus 1; herpesvirus saguinus","E","U63458","zero"
"Iguanid herpesvirus 2","iguanid herpesvirus 2; iguana herpesvirus","E","AY236869","NC_043063"
"Haliotid herpesvirus 1","abalone herpesvirus; haliotid herpesvirus 1","E","JX453331","NC_018874"
"Ostreid herpesvirus 1","oyster herpesvirus; ostreid herpesvirus 1","E","AY509253","NC_005881"
"Enterobacter virus phiEM4","Enterobacter phage phiEM4","E","LC373201","NC_049384"
"Salmonella virus P46FS4","Salmonella phage P46FS4","E","MT078988","NC_049509"
"Salmonella virus SKML39","Salmonella phage SKML-39","E","JX181829","NC_019910"
"Shigella virus AG3","Shigella phage phiSboM-AG3","E","FJ373894","NC_013693"
"Shigella virus MK13","Shigella phage MK-13","E","MK509462","NC_049455"
"Dickeya virus Limestone","Dickeya phage vB-DsoM-LIMEstone1","E","HE600015","NC_019925"
"Dickeya virus RC2014","Dickeya phage RC-2014","E","KJ716335","NC_025452"
"Escherichia virus CBA120","Escherichia phage CBA120","E","JN593240","NC_016570"
"Escherichia virus ECML4","Escherichia phage ECML-4","E","JX128257","NC_025446"
"Escherichia virus EP75","Escherichia phage EP75","E","MG748547","NC_049433"
"Escherichia virus FEC14","Escherichia phage FEC14","E","MG383452","NC_049427"
"Escherichia virus PhaxI","Escherichia phage PhaxI	","E","JN673056","NC_019452"
"Salmonella virus 38","Salmonella phage 38","E","KR296692","NC_029042"
"Salmonella virus aagejoakim","Salmonella phage aagejoakim","E","MT074474","NC_049503"
"Salmonella virus allotria","Salmonella phage allotria","E","MT074471","NC_049501"
"Salmonella virus barely","Salmonella phage barely","E","MT074477","NC_049505"
"Salmonella virus bering","Salmonella phage bering","E","MT074472","NC_049502"
"Salmonella virus BSP101","Salmonella phage BSP101","E","KY787213","NC_049382"
"Salmonella virus Det7","Salmonella phage Det7","E","KP797973","NC_027119"
"Salmonella virus dinky","Salmonella phage dinky","E","MT074475","NC_049504"
"Salmonella virus GG32","Salmonella phage GG32","E","KX245012","NC_031045"
"Salmonella virus heyday","Salmonella phage heyday","E","MT074470","NC_049500"
"Salmonella virus maane","Salmonella phage maane","E","MT074480","NC_049508"
"Salmonella virus Marshall","Salmonella phage Marshall","E","KF669653","NC_022772"
"Salmonella virus Maynard","Salmonella phage Maynard","E","KF669654","NC_022768"
"Salmonella virus moki","Salmonella phage moki","E","MT074478","NC_049506"
"Salmonella virus Mutine","Salmonella phage Mutine","E","MG428992","NC_049428"
"Salmonella virus pertopsoe","Salmonella phage pertopsoe","E","MT074479","NC_049507"
"Salmonella virus PM10","Salmonella phage vB-SalM-PM10","E","KX438380","NC_031128"
"Salmonella virus rabagast","Salmonella phage rabagast","E","MT074469","NC_049499"
"Salmonella virus S118","Salmonella phage S118","E","MH370371","NC_049437"
"Salmonella virus SE14","Salmonella phage SE14","E","MK972690","NC_049512"
"Salmonella virus SeB","Salmonella phage Se-B","E","MN871491","NC_049495"
"Salmonella virus SeG","Salmonella phage Se-G","E","MN871495","NC_049496"
"Salmonella virus SeJ","Salmonella phage Se-J","E","MN871498","NC_049497"
"Salmonella virus SenALZ1","Salmonella phage SenALZ1","E","MH709121","NC_049440"
"Salmonella virus SenASZ3","Salmonella phage SenASZ3","E","MH709120","NC_049439"
"Salmonella virus SeSz1","Salmonella phage SeSz-1","E","MH791405","NC_049443"
"Salmonella virus SFP10","Salmonella phage SFP10","E","HQ259103","NC_016073"
"Salmonella virus SH19","Salmonella phage PhiSH19","E","JN126049","NC_019530"
"Salmonella virus SJ2","Salmonella phage vB-SalM-SJ2","E","KJ174317","NC_023856"
"Salmonella virus SJ3","Salmonella phage vB-SalM-SJ3","E","KJ174318","NC_024122"
"Salmonella virus SP1","Salmonella phage SP1","E","MF001362","NC_049396"
"Salmonella virus SS9","Salmonella phage SS9","E","MK972699","NC_049458"
"Salmonella virus STML131","Salmonella phage STML-13-1","E","JX181828","NC_042061"
"Salmonella virus STW77","Salmonella phage ST-W77","E","KX765865","NC_049378"
"Salmonella virus ViI","Salmonella phage Vi01","E","FQ312032","NC_015296"
"Vibrio virus YC","Vibrio phage YC","E","MH375644","NC_048709"
"Vibrio virus Kuja","Vibrio phage vB_VchM_Kuja","E","MN718199","NC_048827"
"Serratia virus 3M","Serratia phage vB_SmaA_3M","E","MH929319","NC_048736"
"Serratia virus MAM1","Serratia phage phiMAM1","E","JX878496","NC_020083"
"Erwinia virus Bue1","Erwinia phage vB_EamM-Bue1","E","MG973030","NC_048702"
"Erwinia virus Ea2809","Erwinia phage phiEa2809","E","KP037007","NC_027340"
"Escherichia virus KWBSE43-6","Escherichia phage vB_EcoM_KWBSE43-6","E","MK373783","NC_048186"
"Klebsiella virus 0507KN21","Klebsiella phage 0507-KN2-1","E","AB797215","NC_022343"
"Klebsiella virus KpS110","Klebsiella phage vB_KpnM_KpS110","E","MG770379","NC_047932"
"Klebsiella virus Magnus","Klebsiella phage Magnus","E","MN045230","NC_049462"
"Klebsiella virus May","Klebsiella phage May","E","MG428991","NC_047900"
"Klebsiella virus Menlow","Klebsiella phage Menlow","E","MG428990","NC_047901"
"Klebsiella virus UPM2146","Klebsiella phage UPM 2146","E","MN478483","NC_049472"
"Serratia virus IME250","Serratia phage vB_Sru_IME250","E","KX147096","NC_042047"
"Aeromonas virus A8-29","Aeromonas phage phiA8-29","E","KY914485","NC_048660"
"Vibrio virus VAP7","Vibrio phage VAP7","E","MK795384","NC_048765"
"Acinetobacter virus Acibel007","Acinetobacter phage vB_AbaP_Acibel007","E","KJ473423","NC_025457"
"Acinetobacter virus AB3","Acinetobacter phage AB3","E","KC311669","NC_021337"
"Acinetobacter virus AbKT21III","Acinetobacter phage_AbKT21phiIII","E","MK278859","NC_048142"
"Acinetobacter virus Abp1","Acinetobacter phage Abp1","E","JX658790","NC_021316"
"Acinetobacter virus Aci07","Acinetobacter phage_vB_AbaP_46-62_Aci07","E","MH800200","NC_048076"
"Acinetobacter virus Aci08","Acinetobacter phage_vB_AbaP_B09_Aci08","E","MH763831","NC_048081"
"Acinetobacter virus AS11","Acinetobacter phage vB_AbaP_AS11","E","KY268296","NC_041915"
"Acinetobacter virus AS12","Acinetobacter phage vB_AbaP_AS12","E","KY268295","NC_041914"
"Acinetobacter virus B1","Acinetobacter phage vB_AbaP_B1","E","MF033347","NC_042003"
"Acinetobacter virus B3","Acinetobacter phage vB_AbaP_B3","E","MF033348","NC_042004"
"Acinetobacter virus B5","Acinetobacter phage vB_AbaP_B5","E","MF033349","NC_042005"
"Acinetobacter virus D2","Acinetobacter phage vB_AbaP_D2","E","MH042230","NC_042124"
"Acinetobacter virus Fri1","Acinetobacter phage Fri1","E","KR149290","NC_028848"
"Acinetobacter virus IME200","Acinetobacter phage IME-200","E","KT804908","NC_028987"
"Acinetobacter virus P1","Acinetobacter phage vB_ApiP_P1","E","MF033350","NC_042006"
"Acinetobacter virus P2","Acinetobacter phage vB_ApiP_P2","E","MF033351","NC_042007"
"Acinetobacter virus PD6A3","Acinetobacter phage vB_AbaP_PD-6A3","E","KT388102","NC_028684"
"Acinetobacter virus PDAB9","Acinetobacter phage vB_AbaP_PD-AB9","E","KT388103","NC_028679"
"Acinetobacter virus phiAB1","Acinetobacter phage phiAB1","E","HQ186308","NC_028675"
"Acinetobacter virus phiAB6","Acinetobacter phage phiAb6","E","KT339321","NC_031086"
"Acinetobacter virus SH-Ab 15519","Acinetobacter phage SH-Ab 15519","E","KY082667","NC_041905"
"Acinetobacter virus SWHAb1","Acinetobacter phage SWH-Ab-1","E","MG459218","NC_047896"
"Acinetobacter virus SWHAb3","Acinetobacter phage SWH-Ab-3","E","MG599035","NC_047883"
"Acinetobacter virus WCHABP5","Acinetobacter phage WCHABP5","E","KY888680","NC_041967"
"Acinetobacter virus Petty","Acinetobacter phage Petty","E","KF669656","NC_023570"
"Vibrio virus Vc1","Vibrio phage Vc1","E","KJ502657","NC_047746"
"Vibrio virus A318","Vibrio phage phi-A318","E","KF322026","NC_025822"
"Vibrio virus AS51","Vibrio phage AS51","E","KF800937","NC_047737"
"Vibrio virus Vp670","Vibrio phage Vp670","E","KY290756","NC_047803"
"Marinomonas virus CB5A","Marinomonas phage CB5A","E","MF481197","NC_047836"
"Marinomonas virus CPP1m","Marinomonas phage CPP1m","E","KY626176","NC_047821"
"Vibrio virus VEN","Vibrio phage VEN","E","MG545917","NC_047903"
"Pseudomonas virus Achelous","Pseudomonas phage Achelous","E","MH113814","NC_047956"
"Pseudomonas virus Alpheus","Pseudomonas phage Alpheus","E","MH113815","NC_047957"
"Pseudomonas virus Nerthus","Pseudomonas phage Nerthus","E","MH113813","NC_047955"
"Pseudomonas virus Njord","Pseudomonas phage Njord","E","MH113812","NC_047954"
"Pseudomonas virus uligo","Pseudomonas phage uligo","E","MG018929","NC_047894"
"Pseudomonas virus C171","Pseudomonas phage YMC11/06/C171_PPU_BP","E","KU310944","NC_030923"
"Pectobacterium virus PP16","Pectobacterium phage PP16","E","KX278418","NC_031068"
"Pectobacterium virus PPWS1","Pectobacterium phage PPWS1","E","LC063634","NC_047758"
"Pectobacterium virus PPWS2","Pectobacterium phage PPWS2","E","LC375533","NC_048103"
"Pectobacterium virus CB5","Pectobacterium phage vB_PatP_CB5","E","KY953156","NC_042131"
"Pectobacterium virus Clickz","Pectobacterium phage Clickz","E","MK095193","NC_048116"
"Pectobacterium virus fM1","Pectobacterium phage φM1","E","JX290549","NC_041854"
"Pectobacterium virus Gaspode","Pectobacterium phage Gaspode","E","MH807811","NC_048056"
"Pectobacterium virus Khlen","Pectobacterium phage Khlen","E","MK095202","NC_048117"
"Pectobacterium virus Koot","Pectobacterium phage Koot","E","MK095203","NC_048118"
"Pectobacterium virus Lelidair","Pectobacterium phage Lelidair","E","MH807814","NC_048058"
"Pectobacterium virus Nobby","Pectobacterium phage Nobby","E","MH807818","NC_048061"
"Pectobacterium virus Peat1","Pectobacterium phage Peat1","E","KR604693","NC_029081"
"Pectobacterium virus Phoria","Pectobacterium phage Phoria","E","MK095209","NC_048119"
"Pectobacterium virus PP90","Pectobacterium phage PP90","E","KX278419","NC_031096"
